C1,C2,C3,C4,L1,L2,L3,L4
80.0,86.0,44.0,16.0,5e-324,6.94288207439247e-310,6.94288207424716e-310,113.0
80.0,86.0,44.0,16.0,5e-324,6.94288207439247e-310,6.94288207424716e-310,113.0
80.0,86.0,44.0,16.0,5e-324,6.94288207439247e-310,6.94288207424716e-310,113.0
80.0,86.0,44.0,16.0,5e-324,6.94288207439247e-310,6.94288207424716e-310,113.0
80.0,86.0,44.0,16.0,5e-324,6.94288207439247e-310,6.94288207424716e-310,113.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
117.0,51.0,35.0,28.0,13.0,49.0,91.0,67.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
76.0,81.0,70.0,20.0,21.0,77.0,65.0,76.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,98.0,60.0,33.0,22.0,31.0,73.0,106.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
47.0,86.0,66.0,47.0,12.0,17.0,81.0,130.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
112.0,102.0,41.0,39.0,35.0,40.0,84.0,124.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
116.0,68.0,45.0,20.0,13.0,55.0,56.0,110.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
70.0,95.0,48.0,14.0,14.0,45.0,83.0,79.0
88.0,74.0,40.0,25.0,34.0,15.0,61.0,109.0
88.0,74.0,40.0,25.0,34.0,15.0,61.0,109.0
88.0,74.0,40.0,25.0,34.0,15.0,61.0,109.0
88.0,74.0,40.0,25.0,34.0,15.0,61.0,109.0
