C1,C2,C3,C4,L1,L2,L3,L4
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
135.0,54.0,47.0,1.097070810032871e-120,65.0,71.0,70.0,19.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
58.0,92.0,83.0,23.0,41.0,67.0,99.0,40.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
164.0,75.0,42.0,17.0,99.0,116.0,54.0,17.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
63.0,85.0,45.0,19.0,68.0,51.0,46.0,42.0
45.0,111.0,70.0,14.0,86.0,73.0,65.0,12.0
