C1,C2,C3,C4,L1,L2,L3,L4
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
53.0,76.0,27.0,57.0,5e-324,41.0,89.0,70.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
47.0,81.0,63.0,34.0,27.0,51.0,39.0,102.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
55.0,82.0,64.0,33.0,7.0,39.0,127.0,52.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
58.0,68.0,52.0,24.0,34.0,49.0,57.0,53.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
15.0,21.0,71.0,129.0,30.0,85.0,85.0,30.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
52.0,59.0,77.0,50.0,21.0,49.0,79.0,80.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
64.0,97.0,54.0,27.0,12.0,52.0,75.0,99.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
36.0,74.0,65.0,48.0,21.0,55.0,93.0,50.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
70.0,60.0,73.0,48.0,29.0,49.0,77.0,92.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
58.0,52.0,84.0,34.0,20.0,45.0,48.0,115.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
19.0,68.0,60.0,79.0,19.0,61.0,78.0,68.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
111.0,78.0,40.0,24.0,29.0,39.0,85.0,80.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
69.0,62.0,51.0,24.0,29.0,39.0,68.0,67.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
46.0,68.0,67.0,31.0,13.0,47.0,74.0,66.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
41.0,38.0,93.0,87.0,19.0,67.0,73.0,95.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
49.0,42.0,55.0,73.0,9.0,31.0,103.0,74.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
61.0,59.0,85.0,64.0,36.0,43.0,70.0,117.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
49.0,29.0,53.0,56.0,27.0,28.0,71.0,55.0
