C1,C2,C3,C4,L1,L2,L3,L4
4.677035754574e-310,82.0,87.0,54.0,5e-324,70.0,64.0,4.67703575471197e-310
4.677035754574e-310,82.0,87.0,54.0,5e-324,70.0,64.0,4.67703575471197e-310
4.677035754574e-310,82.0,87.0,54.0,5e-324,70.0,64.0,4.67703575471197e-310
4.677035754574e-310,82.0,87.0,54.0,5e-324,70.0,64.0,4.67703575471197e-310
4.677035754574e-310,82.0,87.0,54.0,5e-324,70.0,64.0,4.67703575471197e-310
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
9.0,77.0,70.0,59.0,35.0,47.0,83.0,43.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
28.0,43.0,80.0,72.0,60.0,74.0,37.0,49.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,65.0,73.0,106.0,89.0,90.0,50.0,29.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
15.0,46.0,84.0,72.0,56.0,59.0,66.0,41.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
24.0,33.0,96.0,99.0,31.0,43.0,106.0,66.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
43.0,51.0,91.0,51.0,36.0,82.0,79.0,35.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
11.0,83.0,103.0,59.0,46.0,84.0,90.0,38.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
10.0,93.0,73.0,64.0,75.0,56.0,58.0,44.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
39.0,48.0,61.0,60.0,32.0,41.0,67.0,65.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
18.0,25.0,72.0,103.0,35.0,65.0,63.0,53.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
32.0,34.0,91.0,94.0,57.0,82.0,70.0,38.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
21.0,39.0,54.0,112.0,44.0,62.0,94.0,22.0
29.0,22.0,37.0,126.0,101.0,45.0,35.0,32.0
29.0,22.0,37.0,126.0,101.0,45.0,35.0,32.0
29.0,22.0,37.0,126.0,101.0,45.0,35.0,32.0
29.0,22.0,37.0,126.0,101.0,45.0,35.0,32.0
29.0,22.0,37.0,126.0,101.0,45.0,35.0,32.0
29.0,22.0,37.0,126.0,101.0,45.0,35.0,32.0
