C4,C3,C2,C1,L4,L3,L2,L1
80,86,44,16,5e-324,6.94288207439247e-310,6.94288207424716e-310,113
80,86,44,16,5e-324,6.94288207439247e-310,6.94288207424716e-310,113
80,86,44,16,5e-324,6.94288207439247e-310,6.94288207424716e-310,113
80,86,44,16,5e-324,6.94288207439247e-310,6.94288207424716e-310,113
80,86,44,16,5e-324,6.94288207439247e-310,6.94288207424716e-310,113
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
117,51,35,28,13,49,91,67
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
76,81,70,20,21,77,65,76
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,98,60,33,22,31,73,106
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
47,86,66,47,12,17,81,130
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
112,102,41,39,35,40,84,124
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
116,68,45,20,13,55,56,110
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
70,95,48,14,14,45,83,79
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
88,74,40,25,34,15,61,109
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
52,48,69,31,31,65,55,42
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
56,75,66,21,23,20,93,74
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
67,97,58,15,34,67,76,52
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
74,69,106,14,8,61,98,93
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,79,34,41,5,45,82,105
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
94,94,38,12,19,61,73,71
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
108,101,33,15,19,57,72,98
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
98,53,58,28,26,74,64,64
93,49,50,50,16,30,76,108
93,49,50,50,16,30,76,108
93,49,50,50,16,30,76,108
93,49,50,50,16,30,76,108
93,49,50,50,16,30,76,108
93,49,50,50,16,30,76,108
