C1,C2,C3,C4,L1,L2,L3,L4
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
133.0,114.0,47.0,0.0,15.0,39.0,104.0,136.0
87.0,59.0,0.0,0.0,0.0,3.0,45.0,111.0
87.0,59.0,0.0,0.0,0.0,3.0,45.0,111.0
87.0,59.0,0.0,0.0,0.0,3.0,45.0,111.0
87.0,59.0,0.0,0.0,0.0,3.0,45.0,111.0
87.0,59.0,0.0,0.0,0.0,3.0,45.0,111.0
119.0,84.0,28.0,0.0,0.0,0.0,67.0,140.0
119.0,84.0,28.0,0.0,0.0,0.0,67.0,140.0
119.0,84.0,28.0,0.0,0.0,0.0,67.0,140.0
119.0,84.0,28.0,0.0,0.0,0.0,67.0,140.0
119.0,84.0,28.0,0.0,0.0,0.0,67.0,140.0
152.0,86.0,0.0,0.0,0.0,0.0,81.0,190.0
152.0,86.0,0.0,0.0,0.0,0.0,81.0,190.0
152.0,86.0,0.0,0.0,0.0,0.0,81.0,190.0
152.0,86.0,0.0,0.0,0.0,0.0,81.0,190.0
97.0,108.0,28.0,0.0,0.0,0.0,93.0,141.0
97.0,108.0,28.0,0.0,0.0,0.0,93.0,141.0
97.0,108.0,28.0,0.0,0.0,0.0,93.0,141.0
97.0,108.0,28.0,0.0,0.0,0.0,93.0,141.0
97.0,108.0,28.0,0.0,0.0,0.0,93.0,141.0
125.0,86.0,27.0,24.0,0.0,0.0,72.0,120.0
125.0,86.0,27.0,24.0,0.0,0.0,72.0,120.0
125.0,86.0,27.0,24.0,0.0,0.0,72.0,120.0
125.0,86.0,27.0,24.0,0.0,0.0,72.0,120.0
125.0,86.0,27.0,24.0,0.0,0.0,72.0,120.0
125.0,86.0,27.0,24.0,0.0,0.0,72.0,120.0
89.0,102.0,48.0,0.0,0.0,0.0,49.0,0.0
89.0,102.0,48.0,0.0,0.0,0.0,49.0,0.0
89.0,102.0,48.0,0.0,0.0,0.0,49.0,0.0
89.0,102.0,48.0,0.0,0.0,0.0,49.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
116.0,106.0,28.0,0.0,57.0,29.0,0.0,118.0
116.0,106.0,28.0,0.0,57.0,29.0,0.0,118.0
116.0,106.0,28.0,0.0,57.0,29.0,0.0,118.0
116.0,106.0,28.0,0.0,57.0,29.0,0.0,118.0
116.0,106.0,28.0,0.0,57.0,29.0,0.0,118.0
116.0,106.0,28.0,0.0,57.0,29.0,0.0,118.0
64.0,129.0,32.0,0.0,0.0,16.0,72.0,120.0
64.0,129.0,32.0,0.0,0.0,16.0,72.0,120.0
64.0,129.0,32.0,0.0,0.0,16.0,72.0,120.0
64.0,129.0,32.0,0.0,0.0,16.0,72.0,120.0
64.0,129.0,32.0,0.0,0.0,16.0,72.0,120.0
64.0,129.0,32.0,0.0,0.0,16.0,72.0,120.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
69.0,103.0,74.0,23.0,0.0,33.0,64.0,150.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
86.0,62.0,0.0,5.0,10.0,7.0,58.0,125.0
148.0,0.0,9.0,0.0,40.0,0.0,63.0,147.0
148.0,0.0,9.0,0.0,40.0,0.0,63.0,147.0
148.0,0.0,9.0,0.0,40.0,0.0,63.0,147.0
148.0,0.0,9.0,0.0,40.0,0.0,63.0,147.0
148.0,0.0,9.0,0.0,40.0,0.0,63.0,147.0
97.0,86.0,15.0,0.0,0.0,16.0,44.0,123.0
97.0,86.0,15.0,0.0,0.0,16.0,44.0,123.0
97.0,86.0,15.0,0.0,0.0,16.0,44.0,123.0
97.0,86.0,15.0,0.0,0.0,16.0,44.0,123.0
97.0,86.0,15.0,0.0,0.0,16.0,44.0,123.0
97.0,86.0,15.0,0.0,0.0,16.0,44.0,123.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,100.0,32.0,0.0,22.0,34.0,83.0,92.0
98.0,80.0,77.0,0.0,0.0,56.0,61.0,119.0
98.0,80.0,77.0,0.0,0.0,56.0,61.0,119.0
98.0,80.0,77.0,0.0,0.0,56.0,61.0,119.0
98.0,80.0,77.0,0.0,0.0,56.0,61.0,119.0
98.0,80.0,77.0,0.0,0.0,56.0,61.0,119.0
98.0,80.0,77.0,0.0,0.0,56.0,61.0,119.0
126.0,82.0,38.0,0.0,0.0,26.0,89.0,0.0
126.0,82.0,38.0,0.0,0.0,26.0,89.0,0.0
126.0,82.0,38.0,0.0,0.0,26.0,89.0,0.0
126.0,82.0,38.0,0.0,0.0,26.0,89.0,0.0
126.0,82.0,38.0,0.0,0.0,26.0,89.0,0.0
