C1,C2,C3,C4,L1,L2,L3,L4
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
142.0,62.0,25.0,7.0,57.0,73.0,54.0,33.0
122.0,86.0,18.0,0.0,0.0,63.0,42.0,14.0
122.0,86.0,18.0,0.0,0.0,63.0,42.0,14.0
122.0,86.0,18.0,0.0,0.0,63.0,42.0,14.0
122.0,86.0,18.0,0.0,0.0,63.0,42.0,14.0
122.0,86.0,18.0,0.0,0.0,63.0,42.0,14.0
122.0,86.0,18.0,0.0,0.0,63.0,42.0,14.0
132.0,73.0,0.0,0.0,115.0,73.0,39.0,0.0
132.0,73.0,0.0,0.0,115.0,73.0,39.0,0.0
132.0,73.0,0.0,0.0,115.0,73.0,39.0,0.0
132.0,73.0,0.0,0.0,115.0,73.0,39.0,0.0
132.0,73.0,0.0,0.0,115.0,73.0,39.0,0.0
156.0,56.0,16.0,0.0,83.0,85.0,49.0,0.0
156.0,56.0,16.0,0.0,83.0,85.0,49.0,0.0
156.0,56.0,16.0,0.0,83.0,85.0,49.0,0.0
156.0,56.0,16.0,0.0,83.0,85.0,49.0,0.0
156.0,56.0,16.0,0.0,83.0,85.0,49.0,0.0
156.0,56.0,16.0,0.0,83.0,85.0,49.0,0.0
132.0,76.0,0.0,0.0,46.0,75.0,76.0,0.0
132.0,76.0,0.0,0.0,46.0,75.0,76.0,0.0
132.0,76.0,0.0,0.0,46.0,75.0,76.0,0.0
132.0,76.0,0.0,0.0,46.0,75.0,76.0,0.0
132.0,76.0,0.0,0.0,46.0,75.0,76.0,0.0
131.0,120.0,16.0,0.0,0.0,94.0,49.0,0.0
131.0,120.0,16.0,0.0,0.0,94.0,49.0,0.0
131.0,120.0,16.0,0.0,0.0,94.0,49.0,0.0
131.0,120.0,16.0,0.0,0.0,94.0,49.0,0.0
131.0,120.0,16.0,0.0,0.0,94.0,49.0,0.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
107.0,93.0,24.0,0.0,7.0,70.0,66.0,11.0
168.0,65.0,23.0,0.0,97.0,0.0,44.0,0.0
168.0,65.0,23.0,0.0,97.0,0.0,44.0,0.0
168.0,65.0,23.0,0.0,97.0,0.0,44.0,0.0
168.0,65.0,23.0,0.0,97.0,0.0,44.0,0.0
168.0,65.0,23.0,0.0,97.0,0.0,44.0,0.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
159.0,102.0,14.0,0.0,93.0,73.0,39.0,44.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
109.0,95.0,43.0,10.0,106.0,76.0,39.0,0.0
137.0,64.0,0.0,0.0,88.0,64.0,46.0,7.0
137.0,64.0,0.0,0.0,88.0,64.0,46.0,7.0
137.0,64.0,0.0,0.0,88.0,64.0,46.0,7.0
137.0,64.0,0.0,0.0,88.0,64.0,46.0,7.0
137.0,64.0,0.0,0.0,88.0,64.0,46.0,7.0
137.0,64.0,0.0,0.0,88.0,64.0,46.0,7.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
132.0,71.0,28.0,0.0,95.0,82.0,26.0,10.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
141.0,93.0,31.0,0.0,88.0,80.0,35.0,24.0
133.0,98.0,7.0,9.0,0.0,112.0,22.0,0.0
133.0,98.0,7.0,9.0,0.0,112.0,22.0,0.0
133.0,98.0,7.0,9.0,0.0,112.0,22.0,0.0
