C1,C2,C3,C4,L1,L2,L3,L4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
0.0,32.0,97.0,103.0,42.0,48.0,58.0,84.0
26.0,60.0,72.0,69.0,0.0,80.0,67.0,0.0
26.0,60.0,72.0,69.0,0.0,80.0,67.0,0.0
26.0,60.0,72.0,69.0,0.0,80.0,67.0,0.0
26.0,60.0,72.0,69.0,0.0,80.0,67.0,0.0
26.0,60.0,72.0,69.0,0.0,80.0,67.0,0.0
26.0,60.0,72.0,69.0,0.0,80.0,67.0,0.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
28.0,85.0,87.0,25.0,29.0,84.0,50.0,59.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
68.0,84.0,55.0,58.0,49.0,98.0,68.0,42.0
0.0,88.0,91.0,23.0,55.0,58.0,76.0,0.0
0.0,88.0,91.0,23.0,55.0,58.0,76.0,0.0
0.0,88.0,91.0,23.0,55.0,58.0,76.0,0.0
0.0,88.0,91.0,23.0,55.0,58.0,76.0,0.0
0.0,88.0,91.0,23.0,55.0,58.0,76.0,0.0
