C1,C2,C3,C4,L1,L2,L3,L4
4.677035754574e-310,20.0,45.0,91.0,12.0,11.0,44.0,4.67703575471197e-310
4.677035754574e-310,20.0,45.0,91.0,12.0,11.0,44.0,4.67703575471197e-310
4.677035754574e-310,20.0,45.0,91.0,12.0,11.0,44.0,4.67703575471197e-310
4.677035754574e-310,20.0,45.0,91.0,12.0,11.0,44.0,4.67703575471197e-310
4.677035754574e-310,20.0,45.0,91.0,12.0,11.0,44.0,4.67703575471197e-310
4.677035754574e-310,20.0,45.0,91.0,12.0,11.0,44.0,4.67703575471197e-310
0.0,29.0,96.0,68.0,0.0,0.0,84.0,147.0
0.0,29.0,96.0,68.0,0.0,0.0,84.0,147.0
0.0,29.0,96.0,68.0,0.0,0.0,84.0,147.0
0.0,29.0,96.0,68.0,0.0,0.0,84.0,147.0
0.0,29.0,96.0,68.0,0.0,0.0,84.0,147.0
0.0,32.0,87.0,0.0,0.0,22.0,84.0,4095.0
0.0,32.0,87.0,0.0,0.0,22.0,84.0,4095.0
0.0,32.0,87.0,0.0,0.0,22.0,84.0,4095.0
0.0,32.0,87.0,0.0,0.0,22.0,84.0,4095.0
0.0,32.0,87.0,0.0,0.0,22.0,84.0,4095.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,31.0,53.0,127.0,23.0,32.0,67.0,102.0
0.0,21.0,0.0,136.0,11.0,28.0,0.0,101.0
0.0,21.0,0.0,136.0,11.0,28.0,0.0,101.0
0.0,21.0,0.0,136.0,11.0,28.0,0.0,101.0
0.0,21.0,0.0,136.0,11.0,28.0,0.0,101.0
0.0,21.0,0.0,136.0,11.0,28.0,0.0,101.0
33.0,42.0,91.0,104.0,17.0,12.0,80.0,161.0
33.0,42.0,91.0,104.0,17.0,12.0,80.0,161.0
33.0,42.0,91.0,104.0,17.0,12.0,80.0,161.0
